[18:42:19.227] Normal: Scanner On.
[18:42:59.256] Normal: -72 dBm
[18:42:59.256] Normal: 1799.52 ms
[18:42:59.456] Normal: -68 dBm
[18:42:59.456] Normal: 200.00 ms
[18:43:00.455] Normal: -65 dBm
[18:43:00.455] Normal: 998.98 ms
[18:43:01.091] Verbose: Connecting...
[18:43:01.091] Debug: cbCentralManager.connect()
[18:43:01.253] Normal: -74 dBm
[18:43:01.253] Normal: 799.33 ms
[18:43:01.356] Debug: [Callback] centralManager(central, didConnect: peripheral)
[18:43:01.356] Normal: Connected.
[18:43:01.356] Verbose: Discovering Services...
[18:43:01.356] Debug: peripheral.discoverServices(nil)
[18:43:01.737] Debug: [Callback] peripheral(peripheral, didDiscoverServices: nil)
[18:43:01.738] Verbose: Discovering Included Services for FFF6...
[18:43:01.738] Debug: peripheral.discoverIncludedServices(nil, for: FFF6)
[18:43:01.738] Verbose: Discovering Characteristics for FFF6...
[18:43:01.738] Normal: Discovered FFF6 and 00010203-0405-0607-0809-0A0B0C0D1910 Services.
[18:43:01.738] Debug: peripheral.discoverCharacteristics(nil, for: FFF6)
[18:43:01.738] Verbose: Discovering Included Services for 00010203-0405-0607-0809-0A0B0C0D1910...
[18:43:01.738] Debug: peripheral.discoverIncludedServices(nil, for: 00010203-0405-0607-0809-0A0B0C0D1910)
[18:43:01.738] Verbose: Discovering Characteristics for 00010203-0405-0607-0809-0A0B0C0D1910...
[18:43:01.738] Debug: peripheral.discoverCharacteristics(nil, for: 00010203-0405-0607-0809-0A0B0C0D1910)
[18:43:01.794] Debug: [Callback] peripheral(peripheral, didDiscoverIncludedServicesFor: FFF6, error: nil)
[18:43:01.794] Normal: Service Discovery returned nil Services.
[18:43:01.855] Debug: [Callback] peripheral(peripheral, didDiscoverCharacteristicsFor: FFF6, error: nil)
[18:43:01.855] Verbose: Discovering Descriptors for Characteristic 18EE2EF5-263D-4559-959F-4F9C429F9D11...
